colony name,type,pop_size
PW398 (rascal),control,729
PW398 (rascal),treatment,650
PW399,control,738
PW399,treatment,704
PW400 (shawshank),control,616
PW400 (shawshank),treatment,680
PW437,control,751
PW437,treatment,873
